REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP,Rede,Taxa de Aprovação - 2017,"IDEB
2017
(N x P)"
3 - Sudeste,31,MG,Monjolos,2327,1 - Até 5000,Pública,"99,4","6,3"
3 - Sudeste,31,MG,Monsenhor Paulo,8711,2 - 5001 até 10000,Estadual,"99,7","7,3"
3 - Sudeste,31,MG,Monsenhor Paulo,8711,2 - 5001 até 10000,Municipal,"100,0","6,9"
3 - Sudeste,31,MG,Monsenhor Paulo,8711,2 - 5001 até 10000,Pública,"99,8","7,2"
3 - Sudeste,31,MG,Montalvânia,15603,3 - 10001 até 20000,Estadual,"99,3","6,3"
3 - Sudeste,31,MG,Montalvânia,15603,3 - 10001 até 20000,Municipal,"98,5","5,5"
3 - Sudeste,31,MG,Montalvânia,15603,3 - 10001 até 20000,Pública,"99,0","6,2"
3 - Sudeste,31,MG,Monte Alegre de Minas,21095,4 - 20001 até 50000,Estadual,"95,0","5,2"
3 - Sudeste,31,MG,Monte Alegre de Minas,21095,4 - 20001 até 50000,Municipal,"92,6","6,1"
3 - Sudeste,31,MG,Monte Alegre de Minas,21095,4 - 20001 até 50000,Pública,"93,1","5,8"
3 - Sudeste,31,MG,Monte Azul,21783,4 - 20001 até 50000,Estadual,"99,8","6,1"
3 - Sudeste,31,MG,Monte Azul,21783,4 - 20001 até 50000,Municipal,-,-
3 - Sudeste,31,MG,Monte Azul,21783,4 - 20001 até 50000,Pública,"99,8","6,1"
3 - Sudeste,31,MG,Monte Belo,13453,3 - 10001 até 20000,Estadual,"98,8","5,7"
3 - Sudeste,31,MG,Monte Belo,13453,3 - 10001 até 20000,Municipal,"98,9","6,5"
3 - Sudeste,31,MG,Monte Belo,13453,3 - 10001 até 20000,Pública,"98,9","6,3"
3 - Sudeste,31,MG,Monte Carmelo,48248,4 - 20001 até 50000,Estadual,"99,8","7,1"
3 - Sudeste,31,MG,Monte Carmelo,48248,4 - 20001 até 50000,Municipal,"99,7","6,4"
3 - Sudeste,31,MG,Monte Carmelo,48248,4 - 20001 até 50000,Pública,"99,8","6,9"
3 - Sudeste,31,MG,Monte Formoso,4936,1 - Até 5000,Estadual,-,-
3 - Sudeste,31,MG,Monte Formoso,4936,1 - Até 5000,Municipal,"100,0","5,9"
